N,P,K,temperature,humidity,ph,rainfall,label
95.0,46.8,41.9,26.55,81.8,6.41,279.48,rice
97.7,45.2,41.6,22.57,81.1,6.6,192.17,rice
72.8,44.7,37.0,24.13,79.78,5.94,276.64,rice
87.7,47.8,35.7,22.41,82.83,6.04,249.39,rice
84.0,46.0,38.2,27.2,82.46,6.08,260.56,rice
77.8,48.5,34.1,20.84,83.09,6.8,244.28,rice
88.8,46.0,35.6,22.06,81.12,6.92,248.59,rice
72.4,49.1,38.8,22.15,84.34,6.91,263.28,rice
81.6,46.0,41.0,25.45,81.06,6.43,212.34,rice
78.0,51.6,44.1,23.36,85.51,6.64,223.87,rice
93.6,55.2,39.9,26.63,74.64,6.83,242.18,rice
87.0,48.0,34.0,23.06,83.57,7.09,227.04,rice
81.9,45.0,42.7,24.16,80.91,6.71,242.43,rice
99.7,44.0,39.0,22.72,78.11,6.62,246.53,rice
90.1,46.3,35.8,22.66,81.47,6.18,235.97,rice
94.0,56.9,40.5,24.02,82.28,5.73,239.34,rice
90.6,59.8,39.4,24.1,82.4,6.03,268.57,rice
97.5,51.5,37.3,26.31,78.29,6.73,294.76,rice
80.1,44.7,40.3,22.49,77.85,6.53,213.44,rice
94.7,42.9,44.6,21.93,81.53,6.83,209.23,rice
92.3,54.0,35.2,23.87,83.28,6.81,209.08,rice
76.8,50.1,40.9,24.0,83.54,6.23,245.81,rice
92.9,43.9,45.6,24.45,78.93,6.76,215.63,rice
97.9,53.3,37.5,25.43,83.74,6.83,287.42,rice
87.5,43.7,37.3,21.87,82.27,6.64,246.92,rice
98.3,47.6,44.4,22.97,90.66,6.75,218.57,rice
79.3,49.9,39.3,24.93,83.92,6.47,218.83,rice
74.9,45.3,42.6,23.93,78.76,6.57,249.63,rice
81.2,48.3,40.2,21.21,83.57,6.72,267.08,rice
100.5,40.6,37.2,24.53,84.04,6.71,300.0,rice
95.7,53.2,42.9,24.8,81.55,6.8,220.68,rice
87.6,45.1,40.2,28.13,76.9,6.77,199.68,rice
85.3,52.9,40.2,21.34,80.35,6.77,221.74,rice
92.2,47.7,38.0,27.79,84.4,5.69,244.66,rice
83.4,51.8,37.6,23.27,84.01,6.85,209.99,rice
86.7,45.1,38.0,27.03,83.71,6.0,262.95,rice
111.2,52.7,35.4,22.53,86.3,6.22,251.1,rice
97.7,42.9,39.8,17.02,79.43,6.4,208.81,rice
106.3,40.3,38.7,23.76,86.82,5.93,269.08,rice
90.1,42.6,41.4,23.9,80.7,6.53,230.37,rice
91.1,50.8,44.8,21.02,88.9,5.72,236.21,rice
95.9,48.9,38.1,23.08,81.02,6.26,261.24,rice
93.6,44.0,42.7,24.11,84.94,6.75,219.28,rice
84.4,51.2,41.8,23.46,82.85,7.01,225.21,rice
95.5,46.5,39.3,25.7,84.98,6.83,272.64,rice
90.2,50.9,39.1,24.15,82.11,6.54,254.88,rice
81.8,58.0,37.0,21.07,85.97,6.82,255.6,rice
96.3,47.4,37.3,23.65,80.47,6.89,236.32,rice
81.7,45.9,41.2,22.37,80.03,6.6,246.12,rice
84.9,45.1,40.7,20.6,78.28,6.21,234.66,rice
93.1,54.9,42.6,23.18,82.44,6.1,239.54,rice
87.1,49.1,37.5,24.54,87.1,6.46,250.04,rice
96.9,45.5,40.7,23.53,82.79,6.19,240.61,rice
95.0,54.8,42.9,27.81,80.2,6.85,244.58,rice
111.9,43.5,37.5,22.3,76.13,6.29,221.02,rice
91.5,49.2,45.6,25.4,80.77,6.14,252.3,rice
76.8,56.7,43.5,22.56,77.36,7.04,237.14,rice
102.4,39.5,38.2,23.51,82.64,6.32,255.57,rice
79.3,46.8,40.4,24.53,84.63,6.05,201.65,rice
102.8,49.2,37.8,26.6,82.85,6.97,241.69,rice
110.6,56.3,39.3,25.44,84.44,7.05,215.88,rice
96.9,52.8,34.7,21.13,76.38,6.39,257.94,rice
105.0,47.9,44.9,20.74,77.39,6.48,249.6,rice
89.7,37.2,39.7,20.89,84.51,6.65,216.5,rice
84.9,42.2,39.8,25.41,79.54,6.7,226.74,rice
82.1,47.0,36.9,22.39,78.91,7.29,240.88,rice
83.0,48.6,39.7,23.06,84.34,6.8,226.74,rice
84.2,46.1,33.1,20.47,86.6,7.16,233.77,rice
95.8,49.1,49.2,25.74,82.12,6.12,199.84,rice
92.0,43.7,35.7,22.21,79.26,7.17,262.04,rice
89.9,54.9,40.2,21.78,87.07,6.72,214.07,rice
88.1,43.1,35.9,25.35,88.23,5.94,254.07,rice
83.5,45.1,38.2,21.77,82.65,6.17,246.76,rice
89.5,46.3,37.3,22.35,84.77,6.7,215.56,rice
91.0,51.3,35.0,24.59,80.51,6.73,220.92,rice
72.0,39.4,40.1,24.02,79.79,6.76,198.46,rice
89.3,41.4,38.0,23.59,79.92,6.35,265.16,rice
84.2,51.7,36.6,24.56,86.82,5.51,220.08,rice
95.8,46.5,41.1,22.29,82.76,6.44,269.19,rice
92.5,49.2,38.8,22.52,81.2,6.66,229.48,rice
92.9,57.9,42.6,22.85,86.1,6.34,189.05,rice
79.9,38.1,38.9,23.54,87.53,6.63,234.52,rice
98.3,36.4,40.7,25.04,78.06,6.96,248.46,rice
85.8,50.7,46.8,23.86,83.24,6.32,218.75,rice
98.3,43.2,40.2,22.54,83.94,6.63,265.94,rice
84.9,46.2,37.1,22.61,83.63,6.8,216.95,rice
98.7,54.3,41.2,27.25,80.18,6.0,195.53,rice
105.0,50.8,39.8,24.06,79.12,7.48,243.23,rice
91.1,51.1,41.4,23.95,80.13,6.69,287.05,rice
103.5,55.5,38.5,21.52,82.12,6.52,267.35,rice
73.1,55.1,39.5,22.65,79.46,5.84,260.58,rice
90.7,41.1,36.1,22.83,87.51,6.4,202.42,rice
87.5,46.1,31.9,23.39,81.81,6.78,286.22,rice
101.3,46.2,36.7,28.65,82.68,6.51,239.4,rice
92.0,46.8,38.3,22.41,82.4,6.28,222.18,rice
91.1,46.2,44.5,18.2,85.77,7.0,188.17,rice
86.6,45.6,35.8,21.94,79.17,7.2,263.39,rice
102.7,51.1,36.6,22.45,83.97,6.01,257.82,rice
87.6,45.6,42.1,24.39,81.42,6.96,212.97,rice
96.2,50.5,39.1,24.15,78.75,6.87,235.38,rice
75.8,52.7,18.6,19.68,57.22,6.43,72.2,maize
94.0,37.1,23.4,22.92,64.52,6.09,88.99,maize
79.7,53.0,20.2,22.8,63.18,6.23,88.08,maize
66.3,40.8,21.5,22.84,64.08,6.26,88.48,maize
75.7,43.6,20.4,20.54,67.04,5.74,95.29,maize
83.8,48.8,22.0,25.83,70.07,5.7,72.2,maize
75.0,47.6,21.0,21.05,65.93,6.02,78.88,maize
68.7,42.9,17.3,20.55,70.27,5.97,111.32,maize
83.9,48.4,18.3,23.9,62.12,6.29,110.6,maize
79.2,53.2,18.6,22.43,73.85,6.06,103.12,maize
85.7,44.7,21.3,24.45,68.11,5.78,77.73,maize
78.0,47.1,21.2,22.86,58.32,6.36,91.11,maize
84.5,52.9,21.7,23.42,64.65,5.75,89.3,maize
81.7,48.9,17.4,20.34,70.27,6.24,91.82,maize
80.2,47.6,21.9,21.47,65.48,6.11,80.66,maize
77.5,48.6,19.0,25.01,60.53,6.19,80.6,maize
91.6,48.5,22.1,19.53,66.34,6.52,85.82,maize
88.5,44.9,22.8,27.1,63.19,6.12,99.53,maize
92.6,44.9,19.2,21.94,58.28,5.97,74.96,maize
73.9,47.3,20.5,25.6,60.01,6.55,82.86,maize
79.6,50.9,17.8,23.26,65.83,6.4,87.89,maize
99.6,44.3,18.9,21.25,62.22,6.06,96.89,maize
91.4,44.6,18.3,23.44,62.24,6.44,87.03,maize
67.9,55.2,23.6,21.27,63.06,6.34,88.34,maize
85.3,57.6,19.6,20.9,58.1,6.03,84.67,maize
94.4,44.9,20.4,22.47,70.94,7.01,79.69,maize
76.1,52.7,21.4,26.19,67.92,6.14,90.91,maize
88.9,51.6,21.0,24.63,70.85,6.66,91.49,maize
78.7,48.2,22.4,20.87,66.84,6.13,85.29,maize
90.2,48.5,20.1,19.78,68.73,6.44,106.63,maize
77.5,48.6,20.5,25.65,64.52,6.33,91.08,maize
81.5,45.3,20.4,24.65,59.87,6.29,78.0,maize
89.6,39.9,18.9,23.25,72.83,6.23,79.45,maize
95.0,40.3,15.6,23.38,62.49,5.94,92.08,maize
82.0,44.7,17.4,24.24,68.25,6.22,103.47,maize
71.4,39.9,18.6,22.41,66.22,6.18,88.52,maize
70.0,54.7,19.8,24.73,66.71,6.39,90.7,maize
83.6,50.7,22.7,22.89,68.55,6.22,99.4,maize
74.6,56.5,19.9,19.64,65.64,6.05,93.41,maize
74.8,45.3,16.2,21.6,52.88,5.77,92.6,maize
86.3,49.6,18.1,22.4,64.98,5.9,100.03,maize
87.0,46.4,20.1,22.92,54.79,6.18,78.18,maize
72.0,46.1,23.6,23.78,62.14,6.42,98.99,maize
87.4,47.8,18.7,23.9,66.97,6.52,91.35,maize
88.4,44.8,22.6,22.9,75.38,6.04,102.36,maize
81.6,44.2,19.0,21.86,67.12,6.41,79.26,maize
79.8,58.2,23.5,23.37,65.19,6.29,91.14,maize
71.8,46.2,16.7,23.3,68.24,6.11,100.74,maize
70.2,40.2,20.4,24.59,73.42,6.11,95.79,maize
79.7,46.6,21.8,23.8,57.12,6.69,98.8,maize
75.0,49.5,21.0,23.02,62.25,6.05,84.74,maize
89.4,50.2,19.3,24.04,50.76,6.59,67.6,maize
77.1,41.9,17.4,24.82,62.66,6.35,84.53,maize
83.8,47.9,17.4,24.49,62.53,5.78,80.72,maize
92.0,51.8,19.3,21.8,63.39,6.87,88.82,maize
83.4,52.7,20.5,21.98,64.02,6.23,84.63,maize
85.8,47.8,21.5,22.34,65.39,5.65,94.16,maize
82.8,52.5,14.2,26.68,64.3,6.58,74.6,maize
84.9,42.2,18.8,26.33,64.05,6.32,93.7,maize
84.0,48.3,20.7,27.31,64.71,6.31,95.51,maize
88.8,53.4,21.3,20.21,73.17,5.91,88.03,maize
74.0,47.2,20.7,23.14,67.11,6.73,89.54,maize
78.0,52.3,22.4,20.04,67.99,6.46,82.02,maize
91.0,46.7,20.3,22.15,65.08,5.92,70.6,maize
92.8,43.3,18.0,18.19,61.81,5.85,101.42,maize
88.1,44.1,24.5,24.46,63.38,5.5,107.91,maize
68.9,39.3,22.0,27.38,71.92,6.42,90.95,maize
86.8,51.3,20.6,22.71,64.69,6.02,82.19,maize
66.5,47.0,18.0,20.29,65.9,6.67,94.18,maize
67.4,42.6,21.9,20.54,63.88,6.42,75.32,maize
80.8,40.8,18.8,23.14,57.04,6.38,84.8,maize
84.4,48.6,22.7,22.75,62.85,6.29,90.43,maize
80.4,47.7,18.6,21.17,57.99,6.77,72.56,maize
74.5,43.9,21.8,21.91,71.24,6.05,87.79,maize
73.3,58.2,17.6,23.12,68.17,6.37,83.15,maize
79.0,47.7,19.7,24.43,76.05,6.08,71.3,maize
79.3,60.4,18.4,25.78,73.39,6.08,90.69,maize
93.0,45.6,19.6,21.34,59.93,6.06,72.76,maize
80.3,43.7,20.5,19.39,66.65,6.5,65.06,maize
83.0,53.6,17.6,25.85,67.1,6.04,84.44,maize
84.5,47.9,21.1,20.66,65.85,5.83,83.89,maize
72.8,43.8,22.5,24.68,68.05,5.92,81.84,maize
89.7,48.2,24.6,23.29,65.96,6.16,86.34,maize
78.8,51.0,21.9,20.93,58.34,5.7,90.08,maize
71.2,36.7,20.8,27.49,64.97,6.5,85.82,maize
79.2,52.1,19.4,23.03,66.61,6.05,94.92,maize
78.6,43.7,21.1,20.7,65.14,6.25,95.86,maize
83.8,47.4,21.6,25.28,67.79,6.25,71.88,maize
71.5,46.0,18.8,22.13,65.28,6.41,84.3,maize
83.9,47.8,16.0,20.62,64.28,5.89,91.0,maize
92.2,53.6,19.6,25.48,65.74,6.15,78.87,maize
77.6,45.6,20.3,22.82,65.02,6.38,96.91,maize
87.6,40.1,14.9,24.37,58.17,6.18,73.3,maize
65.6,50.2,21.5,21.35,52.04,6.09,88.92,maize
68.2,48.4,20.0,23.66,65.6,5.96,96.97,maize
78.7,47.4,18.1,21.61,60.58,6.2,102.12,maize
69.0,39.4,22.9,22.08,61.65,6.56,78.94,maize
94.6,50.9,19.0,26.81,61.97,6.47,87.99,maize
90.4,55.3,20.1,20.99,67.3,6.05,105.13,maize
81.1,45.7,20.4,19.81,60.14,6.61,78.43,maize
34.8,70.7,83.6,20.08,18.99,7.02,68.63,chickpea
47.5,65.6,79.2,20.99,18.11,7.63,97.32,chickpea
36.8,73.1,80.2,19.4,20.06,7.65,84.31,chickpea
45.4,65.3,77.5,17.43,14.0,8.43,71.17,chickpea
38.9,65.8,80.9,20.22,18.72,7.11,78.66,chickpea
41.4,66.0,84.8,19.74,18.47,7.73,89.39,chickpea
40.9,59.7,81.2,18.02,15.94,7.69,89.91,chickpea
40.1,69.4,85.1,19.36,22.2,7.68,65.91,chickpea
43.8,69.8,83.9,20.01,16.72,6.79,78.33,chickpea
35.7,64.0,81.8,21.5,17.79,6.8,83.56,chickpea
46.0,63.8,79.6,19.02,15.43,7.72,79.03,chickpea
42.1,62.2,78.7,20.08,16.25,8.26,76.8,chickpea
41.1,73.1,75.7,16.36,14.0,8.03,75.59,chickpea
52.8,64.1,80.6,21.31,21.01,8.43,89.67,chickpea
45.1,71.1,82.3,18.17,15.36,7.4,78.64,chickpea
37.7,71.7,82.9,19.13,19.96,6.83,78.45,chickpea
36.4,56.3,79.8,18.82,20.03,7.72,71.81,chickpea
49.3,74.8,81.7,18.66,15.08,7.21,88.71,chickpea
49.4,76.8,78.5,17.32,17.28,6.52,82.59,chickpea
39.3,64.7,75.2,19.77,15.93,6.82,57.02,chickpea
39.9,78.1,85.0,18.31,15.8,7.63,72.01,chickpea
41.5,72.1,83.7,18.85,16.59,6.96,73.38,chickpea
38.9,69.7,82.7,17.8,19.99,7.26,79.83,chickpea
36.3,53.0,82.7,20.11,16.44,7.43,84.13,chickpea
